review,span,Aspect
After that it intermittently would loose wireless connection, loose wireless  ,wireless
"Out of the box, the wireless doesn't work , BY DESIGN", wireless doesn't work ,wireless
"Overall, the DIR-655 has a much better wireless range than my old DI-634M but the DIR-655 keeps dropping my wireless connection after about 5 mins for about 2 to 5 seconds", dropping my wireless ,wireless
My old Buffalo wireless router died and I bought this as a replacement, wireless router died ,wireless
"One problem I had was that during setup, because the wireless signal was cut off, my laptop, without my realizing it, connected to a neighbor's very weak unprotected signal", wireless signal was cut ,wireless
"But just like so many of the previous reviewers, after several months my wireless connection would drop frequently everyday requiring constant power unplug/replugs", wireless connection would drop ,wireless
This router constantly drops the wireless signal, drops the wireless  ,wireless
WRT54G can't access to internet through wireless connection, can't access to internet through wireless ,wireless
Ethernet connected computer speed was great but the wireless performance was sub-par , wireless performance was sub-par ,wireless
"It seems that I've had a few wireless disconnects , but I haven't had to recycle the power like I had to do with my old Linksys", wireless disconnects ,wireless
The wireless connection to this router stopped working , wireless connection to this router stopped working ,wireless
All my wireless devices were disconnecting constantly, wireless devices were disconnecting ,wireless
"After about a day of use, however, the wireless dropped and none of my devices could find the SSID", wireless dropped ,wireless
"After a reboot, things worked fine again for a while and suddenly, the problem repeated itself - wireless dropped and SSID missing (though the indicator light for wireless broadcast was illuminated)", wireless dropped ,wireless
That's when wireless or both the wired and wireless networks started dropping from the internet, wireless networks started dropping ,wireless
Random loss of connection either through wireless connection failing to work, wireless connection failing ,wireless
Throughput of this device was atrocious on wireless and very suspect on wired, atrocious on wireless ,wireless
"Nonetheless, this renders the wireless router useless to me", wireless router useless ,wireless
"Because they bought this one, and unfortunately they had a problem - wireless and wired connection never worked ", wireless and wired connection never worked ,wireless
The wireless functionality stopped working after about a year, wireless functionality stopped ,wireless
The wireless drops out at least a couple times a day, wireless drops ,wireless
"The wireless doesn't even show up on the ""Available Wireless Networks""", wireless doesn't even show ,wireless
Some say it might be the ISP but I have another computer connected through an ethernet connection - no problem there when my wireless connection drops , wireless connection drops ,wireless
Then the laptop couldn't find the wireless network (despite the fact that it found five wireless networks operated by my neighbors), couldn't find the wireless ,wireless
"Then the wireless signal started failing , and would only come back to full strength for a short while after turning the router off and back on", wireless signal started failing ,wireless
"I think this router wireless transmission interferes with the telephone line which, in turns, drops the DSL connection", wireless transmission interferes ,wireless
Also of importance is that a wireless connection will sometimes be unable to contact the router once you take it off sleep mode, wireless connection will sometimes be unable ,wireless
 wireless will not work , wireless will not work ,wireless
 wireless will not work , wireless will not work ,wireless
 wireless will not work , wireless will not work ,wireless
"When gaming or streaming, the DIR-655 begins to fail after 20 minutes and loses connectivity; all wireless connections fail ", all ,wireless
Still couldn't get the wireless to work , couldn't get the wireless to work ,wireless
"Post-installation, usually unable to get wireless link with our home network although less trouble getting PC to link with undesired wireless networks", unable to get wireless ,wireless
Not only was the wireless portion dead but the wired connections were dead as well, wireless portion dead ,wireless
"The problem is that I have an old house, with stucco walls, which play havoc with wireless ", play havoc with wireless ,wireless
"I'm gonna return it, but I'm really frustrated, after 4 Linksys routers I've bought in the past with 100% satisfaction, this wireless router disappointed me big", wireless router disappointed me ,wireless
Wired connection still ok but wireless connection drop every 5 seconds after established, wireless connection drop ,wireless
5 ghz wireless speed fluctuates massively, wireless speed fluctuates ,wireless
I have had Linksys Tech Support on the line telling me the the 3 Com cards I had were the reason I could not access the internet with the wireless , could not access the internet with the wireless ,wireless
"Then, about three weeks after the warranty expired, it stopped transmitting any wireless signal ", stopped transmitting any wireless signal ,wireless
I would lose my IP address and wireless connection , lose my IP address and wireless connection ,wireless
I would lose my wireless connection , lose my wireless connection ,wireless
"Still, the link quality is poor on the wireless (goes from 100% to dropping the connection immediately)", link quality is poor on the wireless ,wireless
"The wireless range is significantly less than I'd expected, but I'm looking for 3rd party antennas that can address this issue", wireless range is significantly less ,wireless
"On the other hand, the wireless connection drops out intermittently for no apparant reason", wireless connection drops ,wireless
The wireless connection drops intermittently , wireless connection drops intermittently ,wireless
Every few minutes wireless devices would stop receiving data from the router, wireless devices would stop ,wireless
"Other times, I need to reset because the wireless connection is lost ", wireless connection is lost ,wireless
The first one was working OK then suddenly its wireless part stopped functioning so I had to buy a second one, wireless part stopped functioning ,wireless
It replaces an older D-Link product to cure the problem with other wireless network interference and an occasisonal freeze up, wireless network interference ,wireless
"Periodically, the wireless radio will turn off ", wireless radio will turn off ,wireless
the router works but the wireless doesn't , wireless doesn't ,wireless
The wireless does not have the range advertised (or anything close), wireless does not have the range ,wireless
I was dissapointed to learn that you cannot lock down the wireless network to a specific set of MACs, lock down the wireless ,wireless
The wireless connection speed is now only 65mb/s on N, wireless connection speed is now only ,wireless
"The wireless intermittently cuts out completely (ie, the lights on the front indicate it is no longer providing wireless service), the port-forwarding completely broke in the latest version of the firmware, there are no docs for the updated firmware, even though the web interface has changed and added new features, and the docs have no information for using the router with anything other than Windows", wireless intermittently cuts ,wireless
"They said this router doesn't work with my wireless adapter and I needed to buy a Netgear adapter (wtf? [said, needed, buy] [wireless] ", doesn't work with my wireless ,wireless
This router (WGR614v6) keeps dropping the wireless connection, keeps dropping the wireless ,wireless
I just bought a new DIR-655 and the wireless is basically worthless , wireless is basically worthless ,wireless
The wireless is slow whether it is from device to the internet through a cable modem or device to device just through wireless, wireless is slow ,wireless
I have to reset the wireless connection on each computer in order to reestablish wireless communication with the router, have to reset the wireless ,wireless
"BUT, just recently without any changes to the unit's setup I started getting drops on the wireless side, almost daily", getting drops on the wireless ,wireless
Now it is very flaky with the wireless part, is very flaky with the wireless ,wireless
The wireless part is flaky , wireless part is flaky ,wireless
My Linksys wireless router went bad in five months (mid-December), wireless router went bad ,wireless
He couldn't explain how I could do that if the wireless router was bad , wireless router was bad ,wireless
I've had problems with the router dropping wireless connections from the get-go, dropping wireless ,wireless
"Bad News: The wireless performance is much worse with the D-Link, all other factors being the same versus the Netgear 11g WAP", wireless performance is much worse ,wireless
"It seemed that the wireless would 'crash' sporadically , and only a full system reset would bring it back up", wireless would 'crash' sporadically ,wireless
"I speculate baselessly that the very massive amounts of data I was transferring over the wired network was simply too much for the onboard processor to handle, and caused problems with the wireless ", caused problems with the wireless ,wireless
"I get better speed on the GigE ports (marginally, but it's noticeable), the wireless is more reliable , and I don't have to mess with it", wireless is more reliable ,wireless
"However, after a few weeks, it started to drop the wireless signal", started to drop the wireless ,wireless
Cold booted the router and then reconnected internet cable and re-booted all wireless connections and it worked (for another 48 hours then do it all over again), re-booted all wireless ,wireless
I was able to get an internet access for my desktop but the wireless laptop was still having problems, wireless laptop was still having ,wireless
"I noticed couple of times the wireless signal has been down but then in a few seconds, my wireless laptop reconnects", wireless signal has been down ,wireless
"While configuring the router is fairly simple, getting devices to connect to your wireless network is problematic , even when using ONLY NetGear products", wireless network is problematic ,wireless
The adapters seem to have a hard time finding the wireless network and remembering those settings for later, hard time finding the wireless ,wireless
I could not set up a secure wireless network with this router, could not set up a secure wireless ,wireless
"despite reconfiguring the modem and network setup, still no wireless internet available ", no wireless internet available ,wireless
I replace my Linksys wireless AP with an Apple Airport Extreme - much more stable, replace my Linksys wireless ,wireless
After an hour or 2 of attempting to get this to link my to my brother's weak wireless signal (100+ ft, weak wireless signal ,wireless
This thing has NO wireless capabilities , has NO wireless capabilities ,wireless
"The unit performed well for almost one year, the I started losing the wireless signal when the portable computers were moved only a few ft away", started losing the wireless ,wireless
"This unit did not even work - no wireless signal generated ! [did, work, generated] [wireless] ", no wireless signal generated ,wireless
 Have to disable and enable the wireless then it is good for two days again, Have to disable and enable the wireless ,wireless
The guest wireless feature does not work on all devices, wireless feature does not work ,wireless
"The wireless connectivity has completely died once or twice, but a quick reboot of the router got it working again", wireless connectivity has completely died ,wireless
"The wireless response seems a little slow at times when surfing the web, but it could easily be a problem with my Macintosh laptop, considering that I bought my laptop during the same week as this router and I'm still learning how to use it", wireless response seems a little slow ,wireless
It no longer broadcast a wireless signal , no longer broadcast a wireless signal ,wireless
"I can't connect to wireless , despite strong cable signal", can't connect to wireless ,wireless
After a while we noticed that the wireless would randomly drop after a few minutes, wireless would randomly drop ,wireless
"This wireless router is not for a mac , ", wireless router is not for a mac ,wireless
The wireless was very difficult to set up on the Linksys website for security, wireless was very difficult to set ,wireless
And it constantly drops wireless connections (with optimal placement and configuration where other wifi routers shine), constantly drops wireless ,wireless
So wireless failed before 2 years on both, wireless failed ,wireless
Every six days bloop no wireless , bloop no wireless ,wireless
The wireless is the problem , wireless is the problem ,wireless
This is the worst wireless product I've seen and worked with, is the worst wireless ,wireless
"I couldn't use the wireless feature throughout my house, let alone outside", couldn't use the wireless feature ,wireless
Meanwhile no wireless in my house until NetGear replaces their defective product or I suck up the loss of the purchase price of this router and buy a new one (not from these folks), no wireless in my house ,wireless
I have also run into streaming issues with wireless connects to my TV, streaming issues with wireless ,wireless
The wireless feature completely failed , wireless feature completely failed ,wireless
What really bugged me was how often I lost my wireless , lost my wireless ,wireless
"The set-up was easy and the hard-wired part of the router worked, but it didn't broadcast any wireless signal ", didn't broadcast any wireless signal ,wireless
11b adapters were not able to get the wireless link , not able to get the wireless link ,wireless
"No matter how I configured this router, I could not get the wireless network to stay up for more that a couple minutes at a time", could not get the wireless ,wireless
It worked fine for a week and then the wireless component stopped working , wireless component stopped working ,wireless
"While configuring it is very nice and easy, the router needs to be rebooted after every few hours of use or it will drop its wireless connection ", drop its wireless connection ,wireless
I had this router for 2 months and it stopped sending out the wireless signal , stopped sending out the wireless signal ,wireless
"It could just be me, but I had a hard time keeping this thing connected to my wireless router", keeping this thing connected to my wireless ,wireless
"After that, the wireless signal would drop out and not even broadcast the ssid", wireless signal would drop ,wireless
The wireless signal would not broadcast , wireless signal would not broadcast ,wireless
"after a year of usage, the wireless connections drop about once every 2 weeks", wireless connections drop ,wireless
I had a hell of time to get the wireless to work when I was talking to Linksys tech rep using my 2, had a hell of time to get the wireless to work ,wireless
" Defeating the purpose of having a wireless connection , (while leaving the other people without internet for the time I need to ftp files)", Defeating the purpose of having a wireless connection ,wireless
"Three days ago, I started to experiencing wireless drops on my MacBook where I would reset the router, only to have another drop 3 to 5 minutes later", wireless drops ,wireless
The second one I owned worked fine for about a month before the wireless capability stopped working altogether, wireless capability stopped working ,wireless
After installing this router I noticed a CONSIDERABLE slowing of both wireless and wired internet, CONSIDERABLE slowing of both wireless ,wireless
I haven't been able to use the 5 Ghz band yet since I don't have a suitable wireless adapter but the 2, don't have a suitable wireless ,wireless
"all looked good, but no wireless device was able to connect through extender to router and internet- despite seeing the extender", no wireless device was able to connect ,wireless
"I am not happy about it's near useless wireless signal,it took me two days to finish set up right", near useless wireless ,wireless
"But the wireless connection dies intermittently , sometimes as often as several times a day! [dies] [wireless, several] ", wireless connection dies intermittently ,wireless
"After 3 months of working satisfactorily, the router drops wireless and wired connections", drops wireless ,wireless
Let me first say the router is not stable in keeping the wireless connection, not stable in keeping the wireless ,wireless
Router would hang up on wireless every one or two days, hang up on wireless ,wireless
Even Netgear support rep agreed that there is a bug in the firmware which makes the router drop connection with the internet (wired and wireless), bug in the firmware ,firmware
I explained I was having problems with my WRE54G working with my WRT54G adding that I had been told by several people that I had the wrong firmware on the router, wrong firmware ,firmware
"It has a lot of problems, and there are still no firmware updates available as of mid-April", no firmware ,firmware
This model has less memory than the previous models and its firmware can NOT be easily changed to one based in linux, firmware can NOT be easily changed ,firmware
Have the same firmware problem with the V1, firmware problem ,firmware
"Even after upgrading to the latest firmware, these problems have persisted , and I suspect there are serious bugs in NATing any kind of UDP traffic (games, VoIP, etc)"," firmware, these problems have persisted ",firmware
20 firmware had been pulled and was no longer available, firmware had been pulled ,firmware
") Went online and searched, recent WRT54G firmwares had a bug with DHCP", firmwares had a bug ,firmware
I reset it rolled back firmware it would not work and stay up when I needed it, firmware it would not work ,firmware
"after 3 hours, i was told, to bring unit back and try to find a version 4 of the router, that they didnt have a 'stable' firmware yet", didnt have a 'stable' firmware ,firmware
"I should mention that the live webcams that this device refused to properly forward ports for, work perfectly with the 4500 using the identical port forwarding settings, so when I say that there is a BUG in this devices firmware regarding port forwarding, I know what I am talking about", BUG in this devices firmware ,firmware
The firmware on this router is just terrible , firmware on this router is just terrible ,firmware
"But unless you like unplugging your router twice a day to get it unstuck, avoid it until they fix the firmware ", fix the firmware ,firmware
"Again, Linksys demonstrates an amazing inability to properly test their firmware ", test their firmware ,firmware
"If that does not work, and you do not have a Linksys wga54g game adapter (or you are patient and trusting enough to wait for Linksys to correct the problem in a firmware update, or you are feeling lucky), and you have a Linksys router that the WRE54g is advertised as compatible with, purchase the WRE54g", problem in a firmware ,firmware
"This is the ""new"" version has 1/4th the memory and very buggy firmware that is NOT upgradable to customized versions", buggy firmware ,firmware
I was hoping that it might not be a hardware issue and it might be a firmware issue , firmware issue ,firmware
They had me update my VERY old firmware , old firmware ,firmware
"The first few firmware revisions were a little bumpy , but the problems I experienced were sorted out relatively quickly and the router was fast and stable - easily the best router I've owned (and there have been many)", firmware revisions were a little bumpy ,firmware
The provided firmware is useless , firmware is useless ,firmware
I was able to delete the old firmware but the new firmware would not install , firmware would not install ,firmware
The abundance of capabilities of these new boxes requires complicated firmware which quite obviously the manufacturer is not able adequately to debug, complicated firmware ,firmware
Usually Netgear firmware (yes all of the routers have the latest Netgear firmware had to offer) is really buggy and takes about a year and half to get the issues work out, firmware had to offer) is really buggy ,firmware
Now I can't use the WRE54G because of the router firmware incompatability - the extender is unstable and basically useless, firmware incompatability ,firmware
It is plagued by firmware issues since day one, firmware issues ,firmware
Tech support says to download new firmware - can't find firmware for v5 on their site, can't find firmware ,firmware
"It does not work with the original firmware that CAME with the router, it does not work with the LATEST firmware", not work with the original firmware ,firmware
"The new firmware ""bricked"" my router and I couldn't get it fixed"," firmware ""bricked"" my router ",firmware
"Its a firmware issue dealing with the searching for new clients that they haven't ironed out (and who knows if they ever will, its already been through 12 firmware revisions)similarly, the current firmware lacks the ability to set the MTU (packet size) which again while it won't interfere with your email will cause a game to crash out eventually as the packet size is nonstandard (i", firmware issue ,firmware
"Unfortunately, I ran into the same type of problems as everyone else - firmware problems , speed reduction, complete loss of internet capability from my wireless computer - you name it", firmware problems ,firmware
"Bought it in November, and slowly the signal decreased in strength, speeds dropped, gaming consoles and laptops disconnected, and finally, a firmware update destroyed it ", firmware update destroyed it ,firmware
"I'm giving 1 star for the crappy company, software, firmware buggy junk", firmware buggy ,firmware
"a few other people including me sometimes get a ""no devices attached"" situation where the firmware doesn't ""see"" the connected devices"," firmware doesn't ""see"" ",firmware
there appears to be firmware problems as well, firmware problems ,firmware
"Linksys Tech Support is pitiful, and after them telling me over 15 times to upgrade to the newest firmware, which was buggy in the first place, I gave up and swore off linksys products forever"," firmware, which was buggy ",firmware
"After many config software hangs, then firmware upgrade not completing after several tries, she suggested I take the machine back and try to get a version 2 or 3 which she said worked better! [hangs, completing, suggested, take, try, get, said, worked] [many, firmware, several] ", firmware upgrade not completing ,firmware
"If they get their firmware fixed, I would change my rating to a 4-star, but this broken firmware that doesn't allow a downgrade is four months old, so who knows how long I will have make regular trips downstairs to reboot the router", broken firmware ,firmware
Newest firmware upgrades are still unstable , firmware upgrades are still unstable ,firmware
10 version of international firmware and still have the issues , firmware and still have the issues ,firmware
This router is serviceable and has good range but the firmware corrupts the memory, firmware corrupts ,firmware
"This router has very bad firmware , and no prospects of improvement", has very bad firmware ,firmware
"The newer the firmware, the more problems it seems to have"," firmware, the more problems ",firmware
They admitted that the router has a firmware bug and then promptly closed my tech support case, firmware bug ,firmware
"D-Link KNOWS of this problem (tech support told me they know but marketing doesn't), but they still sell the router, and there is no firmware fix available", no firmware fix ,firmware
found out the version 1 model has alot of issues with the current firmware , issues with the current firmware ,firmware
I rolled back to the older firmware and still had speed issues , firmware and still had speed issues ,firmware
nowhere are firmware upgradeability issues mentioned and flagged as potential problems, firmware upgradeability issues ,firmware
"Unfortunately, the router firmware is pretty bad ", firmware is pretty bad ,firmware
"I *hate* when brand-new devices come with outdated firmware ! [come] [brand-new, outdated] ", outdated firmware ,firmware
CONS: The latest version 5 has less Flash and System RAM and uses a buggy non-Linux based firmware , buggy non-Linux based firmware ,firmware
Apparently Linksys is having firmware issues on several models (that's what the best buy guy said), firmware issues ,firmware
"The firmware is sooo shotty that they already have like 4 or 5 different versions of it out, and the worst part is that non of them work properly anyway ( I downloaded all of them )", firmware is sooo shotty ,firmware
"I upgraded the firmware, same problems "," firmware, same problems ",firmware
New firmware caused more problems than it had already, firmware caused more problems ,firmware
"It seems to be some sort of irreparable failure in the firmware , hard as that is to fathom", irreparable failure in the firmware ,firmware
This has to have bugs for sure,  has to have bugs ,firmware
"The tech support asked me to change channels ,upgrade firmware but still has the same problem ", firmware but still has the same problem ,firmware
"This router firmware is just plain bad (check out the netgear forums to see the multitude of complaints) - physically the router was fine - nice range, etc", firmware is just plain bad ,firmware
Upgraded firmware still not resolve the problem , firmware still not resolve the problem ,firmware
I called back minutes later a got another tech in the Phillipines who stayed with me on the phone for 2 hours and was extremely helpful but felt it was a firmware issue and said he would send me firmware updates via email, firmware issue ,firmware
I can't recommend this router because the firmware is just too buggy , firmware is just too buggy ,firmware
"The latest firmware does not support streaming videos! [does, support, streaming] [latest] ", firmware does not support ,firmware
3x firmware hijacked/ruined the best router, firmware hijacked/ruined ,firmware
"After explaining the problem and trying a few `standard' suggestions such as upgrading or flushing the firmware , I have been transferred to another level of support", flushing the firmware ,firmware
"As you have no doubt read in other reviews, the firmware on this model is buggy but is progressively getting better", firmware on this model is buggy ,firmware
I searched the web then i found that they have problem with the router firmware which doesnot work with most of the dsl modems available now, firmware which doesnot work ,firmware
The Netgear service tech tried and help we correct the signal issues with a firmware update and other tips, issues with a firmware update ,firmware
"it's extremely unrecommended to order these units (wrt54g version 5), very bad firmware quality inside, no options to upgrade firmware (don't expect any new version soon), no chances to get bugs fixed", very bad firmware ,firmware
They say that the latest revisions of the firmware are worse than earlier ones, firmware are worse ,firmware
"The performance is terrible, port forwarding is buggy at best, and there are definite firmware bugs ", there are  definite firmware bugs ,firmware
"Although the WCG200 ostensibly supports WDS bridging and repeating, I believe firmware incompatibilities account for my inability to obtain a secure connection between the two products", firmware incompatibilities ,firmware
 Buggy firmware update , Buggy firmware update ,firmware
According to their tech supporter the firmware can be corrupted , firmware can be corrupted ,firmware
The firmware didn't solve the problem, firmware didn't solve ,firmware
The firmware doesn't work under some scenarios, firmware doesn't work ,firmware
"The router is working, but this issue seems to indicate that the firmware wasn't thoroughly tested ", firmware wasn't thoroughly tested ,firmware
The firmware is flaky at best, firmware is flaky ,firmware
This old firmware does not contain the fixes I need, firmware does not contain ,firmware
"And nope, the new firmware hasn't fixed the issue", firmware hasn't fixed ,firmware
The router has a defective firmware that has not been fixed in multiple releases over the last year, has a defective firmware ,firmware
"The out of the box Buffalo firmware is pure garbage , but adding Tomato transforms it into an awesome router", firmware is pure garbage ,firmware
"Although I had configured the router correctly (I later discovered), the problem turned out to be defective firmware ", defective firmware ,firmware
The latest firmware didn't fix this problem, firmware didn't fix ,firmware
This firmware has to have bugs for sure, firmware has to have bugs ,firmware
This firmware has to have bugs for sure, firmware has to have bugs ,firmware
The firmware has issues . , firmware has issues ,firmware
The firmware upgrades are a pain , firmware upgrades are a pain ,firmware
Latest firmware makes things worse , firmware makes things worse ,firmware
The firmware hasn't fixed the problem, firmware hasn't fixed ,firmware
"A call to their tech support confirmed that this is a problem other users are experiencing, yet the faulty firmware is still available for download", the faulty firmware ,firmware
It stalled and a flag came up firmware failed halfway through--probably because of it's dropping the connection during file upload, firmware failed halfway ,firmware
A firmware update has not helped this issue and D-Link support has been less than helpful, firmware update has not helped ,firmware
But the router has a buggy firmware , has a buggy firmware ,firmware
Stock firmware was horrible , firmware was horrible ,firmware
The firmware updates were horrible causing more problems, firmware updates were horrible ,firmware
I went to other online sources of info and discovered that the firmware issue is rampant with a large chunk of their routers, firmware issue is rampant ,firmware
"Linksys routers, including this model have a history of having defective firmware , and it used to be necessary to replace the Linksys brand firmware with 3rd party firmware if you wanted to do any bandwidth-intensive transfer", having defective firmware ,firmware
The firmware upgrade failed , firmware upgrade failed ,firmware
The router has an unstable firmware , has an unstable firmware ,firmware
The router worked fine until Linksys shipped a buggy firmware update which prevented Macs from using the router, shipped a buggy firmware ,firmware
Updating to the newer firmware is of no use as the router won't connect, firmware is of no use ,firmware
The firmware won't connect , firmware won't connect ,firmware
"From the posts over there, sometimes updating firmware works but often doesn't ", firmware works but often doesn't ,firmware
The latest firmware is buggy related to the date/time setup and with saving changes, firmware is buggy ,firmware
Now I'm thinking I've picked up some firmware bug , firmware bug ,firmware
Version 3 of this router ships with this same crappy firmware , same crappy firmware ,firmware
"The firmware would reboot itself at least once every 1-2 days, usually when someone connected to it but not always", firmware would reboot itself ,firmware
Their automatic firmware update doesn't even acknowledge the existence of the more up-to-date versions (1, firmware update doesn't even acknowledge ,firmware
"Unfortunately for all of us, the firmware cannot be rolled back to an earlier version, so if you are one of the unlucky ones, you have no option but to buy another router, until Dlink fixes it", firmware cannot be rolled back ,firmware
"I liked Dlink, and I still do, but if you buy a new DIR-655, chances are you will get stuck with firmware ", get stuck with firmware ,firmware
but the firmware in this new model is terrible , firmware in this new model is terrible ,firmware
Netgear support did have a beta firmware patch didn't work , firmware patch didn't work ,firmware
The firmware is flaky and can cause all kinds of problems, firmware is flaky ,firmware
"I am pretty sure those problems are firmware related , not so much hardware", problems are firmware related ,firmware
I had an old Linksys wireless access point and there was no firmware support for WPA, there was no firmware support ,firmware
The latest firmware update causes even more glitches and the worst part is that the reset button on it is broken, firmware update causes even more glitches ,firmware
During a firmware upgrade it locked up and I had to return it for a new one, firmware upgrade it locked up ,firmware
"while some of the problems are related to firmware , others are related to the manual settings", problems are related to firmware ,firmware
"Found out the firmware upgrade was totally glitchy , so had to go back to a previous firmware version", firmware upgrade was totally glitchy ,firmware
The firmware update made matters worse , firmware update made matters worse ,firmware
The firmware was drastically lacking as well with many strange options missing such as being able to turn off the radios as desired, firmware was drastically lacking ,firmware
"why do you need to spend $150 for a router that will continue to have bad firmware updates ? [do, need, spend, continue, have] [bad] ", have bad firmware updates ,firmware
Every single firmware update has been a flop . , firmware update has been a flop ,firmware
The firmware is incapable of doing what is advertised, firmware is incapable ,firmware
Hardly any problems until these bad firmware updates started coming out, bad firmware updates ,firmware
This firmware is defective and I'm convinced that they know it, firmware is defective ,firmware
The provided firmware is useless , firmware is useless ,firmware
Even if it is just a firmware issue , is just a firmware issue ,firmware
"0 firmware is the culprit , but for now I would strongly caution you and would suggest you wait until D-Link figures this out and fixes these isssues", firmware is the culprit ,firmware
Seems the new firmware is causing a lot of problems , firmware is causing a lot of problems ,firmware
"The firmware is full of issues , connections drop often, every few minutes in some cases", firmware is full of issues ,firmware
The firmware is deffective , firmware is deffective ,firmware
The firmware keeps losing the connection, firmware keeps losing ,firmware
"Unfortunately, the router firmware is pretty bad ", firmware is pretty bad ,firmware
Apparently Linksys is having firmware issues on several models (that's what the best buy guy said), having firmware issues ,firmware
If Linksys can get the firmware issue straightened out the product would easily get 5 stars, firmware issue straightened out ,firmware
The firmware is sooo shotty that they already have like 4 or 5 different versions of it out, firmware is sooo shotty ,firmware
"The Bad: The firmware is garbage , as a result this modem can not handle bittorrent traffic", firmware is garbage ,firmware
The firmware cannot handle traffic, firmware cannot handle ,firmware
This router firmware is just plain bad (check out the netgear forums to see the multitude of complaints), firmware is just plain bad ,firmware
I can't recommend this router because the firmware is just too buggy , firmware is just too buggy ,firmware
"This is the ""new"" version has 1/4th the memory and very buggy firmware ", very buggy firmware ,firmware
The firmware is NOT upgradable to customized versions, firmware is NOT upgradable ,firmware
most of these issues are due to maybe a buggy firmware version, buggy firmware ,firmware
"Unfortunately, I am sending them back for 2 different reasons: (1) When wearing the earbuds the cord/wire somehow ""create"" noise that interferes with your music listening"," cord/wire somehow ""create"" noise  ",wire
If you turn the music off completely and then just listens to the noise created by moving your head you will see what I mean -- it is especially bad when wearing a jacket as the cord/ wire rub across the collar constantly, wire rub across the collar ,wire
"I do however have some pain points: First, the ""stethoscope"" effect is actually quite bad unless you run the headset under your shirt and/or tighten the wire under your chin ", wire under your chin ,wire
"Sounds like one of the wire got torn , cause the right ear sometimes gets no sound", wire got torn ,wire
"The silver part with the actual speaker came loose from its black base and now the innards are exposed, wire and all"," innards are exposed, wire  ",wire
"I use them at the gym primarily, and working out is OK - but doing cardio, I have to snake it down my back, under my t-shirt, cord held down by my cardio monitor strap to minimize the sounds of the cord / wire bumping my t-shirt when moving! [use, working, is, doing, have, held, minimize, bumping, moving] [OK] ", wire bumping ,wire
"These ear buds seemed good for the price but once I started using them I realized why the were so inexpensive compared to the other noise reducing ear buds the workmanship on them is pretty bad the wiring very low quality, after a week the connection started messing up and I have to bend the wire to be able to hear anything the sounds is not too bad again for the price but could be better", have to bend the wire  ,wire
"The wire connection to the right earbud became unreliable after only a couple months, and the left one soon followed a month later", wire connection to the right earbud became unreliable ,wire
I liked the JBuds Hi-Fi Noise-Reducing Ear Buds (the lower-end headphones from this manufacturer) until the wire broke , wire broke ,wire
"However, after about 3 months the right earbud stopped working and I have to hold the wire just the right way to hear anything from the left earbud", have to hold the wire ,wire
"Same thing happened, I've had them for about 3 months now and I have to wiggle the wire and hold it the right way to keep any kind of sound", wiggle the wire  ,wire
My first set had a loose-wire-tye buzzing in one ear, loose-wire-tye buzzing  ,wire
"These earphones have good sound and I found they fit my ear nicely, but as, many reviews stated, the wire are thin and the rubber tips fall off and get lost", wire are thin ,wire
"I started having to wiggle the wire on the ipod end after about 3 months and it was just getting too annoying to handle when I lost first one medium, then one large tip", wiggle the wire  ,wire
"but the most troubling thing about these headpones is when you move your head just 1 milimeter, the wire will brush up against something and it will reverberate in your ears very loudly", wire will brush up  ,wire
this HAS to be due to the poor insulation in the wire , poor insulation in the wire ,wire
they were perfect for sleeping until the wire tore the problem is the wire connected to the ear bud were torn out and now one ear bud died, wire tore ,wire
"- The first pair I received broke on the second day (the earbud/speaker separated from the plastic cone/casing, disconnecting the wire )", disconnecting the wire ,wire
If I fiddle with the wire near the jack I can occasionally get sound to come out but no permanent fix, wire near the jack I can occasionally get sound  ,wire
The wiring isn't very well designed because my right headphone gets no more sound (unless I align and twist the wire in just the right angle), twist the wire  ,wire
"The wire are stiff , which prevents tangling and fraying, but also means it can be difficult to manipulate them, like if you want to curl them above and behind your ears to keep them out of the way", wire are stiff ,wire
The wire on these buds don't move as nice and will kink more, wire on these buds don't move ,wire
"The fault point on all Jbuds is always the same, the wire gets over-stretched or worked right near the Jack", wire gets over-stretched ,wire
"The mic is pretty sensitive too, but the annoying thumping sound of the wire moving or touching your chest or hands makes them very hard to like", annoying thumping sound of the wire ,wire
The wire don't tangle if you keep them in your gym bag most of the time like I do, wire don't tangle ,wire
"The first pair died on me after about 5 months of wear, one of the speakers went out due to a lose wire near the connection to the MP3 player", lose wire  ,wire
"If I tweaked the wire at the right point just a little, it would come back, but I would have to hold it there", tweaked the wire ,wire
"This pair just failed a few days ago with the exact same problem, except now it doesn't even fix itself when I twist the wire ", I twist the wire ,wire
I had been quite pleased with my very first pair until the left wire was frayed inside right under the actual earphone unit despite it only being used for my computer for 6 weeks in a safe environment, wire was frayed  ,wire
I bought these as yet another pair of my Maximo-HS2's had developed a short in the wire and I could no longer hear out of one ear, short in the wire ,wire
"Noise isolation was great with the headphones on, but wire noise is rampant ", wire noise is rampant ,wire
"These headphones have a great sound - crisp with lots of bass - and they block outside noise very well - but the wire in the plug eventually became loose , and though for a few days I was able to ""jiggle"" the cable to get sound, they eventually quit completely", wire in the plug eventually became loose ,wire
"It always starts with the left headphone going out, and having to hold the wire in a certain position to get audio to come out from the left earphone", hold the wire  ,wire
